Domain,Job ID,Job,work steam,Purpose,Key Responsibilities,Key Deliverables,Outcomes & KPIs,Competency 1,Competency 2,Competency 3,Competency 4,Competency 5,Competency 6,Competency 7,Competency 8,Competency 9,Competency 10,Competency 11,Competency 12
Network Mobility,45283861,Lead Programmability & Sys commissioning,System Commissioning,"Programmability: The purpose of this role is to drive automation initiatives aimed at enhancing operational efficiency and reliability within the network environment. By planning and implementing process and workflow automation strategies, developing tools for network operations (NetOps) configuration audit and Big data parsing using Machine learning
OSS Integration: The purpose of this role is to ensure seamless integration and efficient management of operational support systems (OSS) with the network backbone (NB) and maintaining the SLA for our work. By planning and executing integration strategies, conducting inventory data checks for integrity, managing inventory for Alarm reflection, KPI monitoring and troubleshooting, this position plays a critical role in optimizing network operations.
Systems Integration: The primary purpose of this role is to oversee the integration and commissioning of software systems, ensuring their successful deployment and functionality within the designated time frame. This involves loading, configuring, and commissioning operating systems, virtual machines, and applications according to established procedures. Additionally, the role encompasses verifying system configuration data, resolving commissioning issues, conducting system-level sanity testing, and collecting logs to support testing activities","1.	Plan for process / workflow automation for higher efficiency.
2.	Work on NetOps tools for configuration audit.
3.	Develop tools for automated service sanity automation for call, SMS & data.
4.	Work on log collection to support ATP / service testing.
5.	Creating Network Performance Monitoring Dashboard Using Tableau / Power BiUse 
6.	Machine learning to work big Data for Anomaly detection and Fault prediction.
7.	Plan for OSS NB integration.
8.	Work on inventory data and check for integrity.
9.	Support server and storage management.
10.	Oversee commissioning of OS / VM
11.	Lead team for Install, configure and commissioning of the applications.
12.	Provide support for system /application commissioning issue.
13.	Ensure log collection to support ATP / service testing.","1.	Comprehensive plan for process and workflow automation, identifying opportunities for automation to improve efficiency and reduce manual effort.
2.	Implementation of processes for network programmability, enabling automation and agility in network configuration and management.
3.	Development and implementation of NetOps tools for configuration audit, ensuring compliance with network configuration standards and policies.
4.	Creation of tools for automated service sanity checks for call, SMS, and data services, enabling proactive detection and resolution of service issues.
5.	Comprehensive plan for OSS NB integration, outlining integration strategies, timelines, and dependencies.
6.	Thorough analysis of inventory data to ensure accuracy, completeness, and integrity, identifying and resolving discrepancies as needed.
7.	Support for server and storage management activities, ensuring optimal performance, capacity, and reliability.
8.	Execution of system-level sanity testing to validate the functionality and stability of network systems and components
9.	Install, configure, and commission applications to ensure proper functionality and compatibility with the system.
10.	Verify the accuracy and completeness of system configuration data to ensure optimal system performance.
11.	Address and resolve any commissioning issues or discrepancies encountered during the integration process","1.	Measures the percentage of manual processes automated, indicating progress towards operational efficiency goals.
2.	Evaluates the percentage of network configurations audited and found compliant with standards and policies.
3.	Tracks the percentage of automated service sanity checks executed successfully, indicating the effectiveness of service monitoring.
4.	Tracks the adoption and utilization of network programmability processes and tools, indicating progress towards automation and agility goals.
5.	Assesses the performance and reliability of server and storage infrastructure, including metrics such as uptime, response time, and resource utilization.
6.	Measures the percentage of successful OSS NB integrations completed within planned timelines, indicating the effectiveness of integration planning and execution.
7.	Evaluates the accuracy and integrity of inventory data, assessing the percentage of discrepancies identified and resolved.
8.	Percentage of software integration and commissioning tasks completed within specified timeframes.
9.	Percentage of OS/VM configurations and application installations completed accurately on the first attempt.
10.	Average time taken to resolve commissioning issues or discrepancies.",System Commissioning - Configuration Management,Automation Scripting and System Integration,Automation Tools & Frameworks,Load & Stress Testing,System Commissioning,System Diagnostics & Troubleshooting,System Testing & Validation,System Commissioning - System Integration,,,,
Network Mobility,45283865,OSS NB Integration Engineer,System Commissioning,"In this role, your primary objective will be to meticulously plan and execute server/storage engineering initiatives, ensuring the infrastructure meets our organization's evolving needs. You will play a pivotal role in defining and implementing specifications for servers and storage systems, optimizing their performance and capacity to support our operations effectively.","1.	Plan and implement server / storage engineering and specification 
2.	Support backup integrity assurance solutions 
3.	Work on storage resources management (provisioning and utilization of resources)
4.	Update data for resources in DB
5.	Gather and share all alarms and performance indicators of new nodes 
6.	To create Physical node data for logical servers.
7.	Test the developed IPM / MYCOM in SIT lab6. Support rollout in the Production","1.	Develop plans and specifications for server/storage engineering projects and oversee their implementation to meet infrastructure requirements and performance objectives.
2.	Support backup solutions to ensure data integrity and availability, implementing and maintaining systems that safeguard critical data.
3.	Manage storage resources efficiently, including provisioning and utilization, to ensure optimal performance and resource allocation.
4.	Provide support for the rollout of tested solutions in production environments, ensuring smooth deployment and transition to operational status.
5.	Test the functionality and performance of developed IPM/MYCOM systems in the System Integration Testing (SIT) lab to ensure they meet requirements and specifications.
6.	Gather and share alarms and performance indicators from new nodes, facilitating proactive monitoring and troubleshooting of network issues.","1.	Percentage of server/storage engineering projects completed within specified timelines and budget constraints
2.	Assessment of backup solution reliability and effectiveness in ensuring data integrity and availability.
3.	Optimization of storage resource provisioning and utilization to minimize wastage and maximize performance.
4.	Average time taken to gather and share alarms and performance indicators for new nodes, enabling timely response to network issues.
5.	Percentage of successful tests conducted for TeMIP/MYCOM systems in the SIT lab, indicating system readiness for production deployment.
6.	Evaluation of the production rollout process, measuring the level of disruption and downtime experienced during deployment.",System Commissioning - Compliance & Regulatory Standards,Data Engineering & Analytics,OSS Integration,System Optimization,System Commissioning - Fault Management,System Commissioning - Scalability & Load Balancing,,,,,,
Network Mobility,45283866,Software System Commissioning Engineer,System Commissioning,"The primary purpose of this role is to oversee the integration and commissioning of software systems, ensuring their successful deployment and functionality within the designated environment. This involves loading, configuring, and commissioning operating systems, virtual machines, and applications according to established procedures. Additionally, the role encompasses verifying system configuration data, resolving commissioning issues, conducting system-level sanity testing, and collecting logs to support testing activities.","1.    Work on software integration and commissioning (based on MOP/ SOP)
2.    Load, configure and commissioning of OS / VM
3.    Install, configure and commissioning of the applications
4.    Load and verify the system configuration data
5.    Work on system /application commissioning issue 
6.    Perform system level sanity testing 
7.    Work on log collection to support ATP / service testing.","1.	Successfully integrate and commission software systems based on established procedures and guidelines.
2.	Load, configure, and commission operating systems and virtual machines to meet system requirements.
3.	Install, configure, and commission applications to ensure proper functionality and compatibility with the system.
4.	Verify the accuracy and completeness of system configuration data to ensure optimal system performance.
5.	Address and resolve any commissioning issues or discrepancies encountered during the integration process.","1.	Percentage of software integration and commissioning tasks completed within specified timeframes.
2.	Percentage of OS/VM configurations and application installations completed accurately on the first attempt.
3.	Average time taken to resolve commissioning issues or discrepancies.
4.	Number of system-level sanity tests passed without critical failures.
5.	Timeliness and completeness of log collection to support testing activities.",System Commissioning - Performance Optimization,Automation Tools & Frameworks,Change Management,Load Balancing & Scalability,Network Monitoring,Regression Testing,Regulatory Compliance – Software Systems,Software Installation & Configuration,System Functional Testing,System Integration Testing,System Security,
Network Mobility,45283936,SME Hardware / NFVI,Telco Cloud,,,,,Telco Cloud - Network Integration,Capacity Planning - NFVI,Hardware Infrastructure Management,Hardware Resource Optimization,Infrastructure Security,NFVI Platform Deployment,Platform Virtualization,,,,,
Network Mobility,45283935,SME Network Cloud,Telco Cloud,"This role is instrumental in crafting and optimizing the cloud stack architecture for the Jio Network cloud, incorporating technologies like OpenStack, Kubernetes, Docker, and others. Additionally, it involves designing scalable architectures for deploying both virtual machine (VM) and container-based applications, monitoring and optimizing the performance of virtualized network functions (VNFs) and cloud-native functions (CNFs), overseeing VNF/CNF onboarding and service chaining design, and evolving the lifecycle strategy for VNFs/CNFs.","1.	Work on cloud stack architecture for Jio Network cloud (OpenStack, Kubernetes, Docker, etc.)
2.	Design scalable architecture for deploying VM and container-based applications
3.	Monitor performance & optimization for VNFs/CNFs
4.	Handle VNF/CNF onboarding and service chaining design
5.	Work on VNF/CNF lifecycle strategy evolution.","1.	Development of a robust and scalable cloud stack architecture for the Jio Network cloud, leveraging technologies such as OpenStack, Kubernetes, Docker, etc., to provide a solid foundation for network services.
2.	Design of scalable architectures for deploying VM and container-based applications, enabling efficient utilization of resources and flexibility in application deployment.
3.	Monitoring and optimization of performance for VNFs/CNFs, implementing strategies to enhance performance, reliability, and resource efficiency.
4.	Management of VNF/CNF onboarding processes and service chaining design, ensuring seamless integration and orchestration of network functions to meet service requirements.
5.	Evolution of the lifecycle strategy for VNFs/CNFs, identifying areas for improvement and implementing enhancements to optimize the lifecycle management of network functions.","1.	Measures the reliability and resilience of the cloud stack architecture for the Jio Network cloud, ensuring minimal downtime and efficient resource utilization.
2.	Tracks the scalability and flexibility of architectures for deploying VM and container-based applications, enabling rapid and seamless application deployment.
3.	Evaluates the effectiveness of performance monitoring and optimization efforts for VNFs/CNFs, ensuring optimal resource usage and network performance.
4.	Assesses the efficiency and effectiveness of VNF/CNF onboarding processes, including the speed and accuracy of onboarding new network functions.
5.	Measures the success of evolving the lifecycle strategy for VNFs/CNFs, including improvements in lifecycle management processes and overall efficiency gains.",CI/CD Pipeline Management,Cloud Architecture Design,Cloud Data Storage Solutions,Cloud Platform Management,Disaster Recovery and Backup,Identity and Access Management (IAM),Network Cloud Security,Network Function Virtualization (NFV),Orchestration Tools,Virtualization & Containerization,,
Network Mobility,45283937,SME Orchestration & Tools,Telco Cloud,"This role is pivotal in ensuring the seamless orchestration and optimization of network resources through comprehensive analysis, design, implementation, testing, debugging, documentation, and support activities. By focusing on multi-domain orchestration, service orchestration, resource orchestration, and OSS integration, as well as API-driven resource orchestration for client VNFs/CNFs, DSO/GSO design and evolution, and closed-loop automation of network cloud with optimization, this position plays a central role in enhancing the efficiency, scalability, and agility of network operations.","1.	Perform requirements analysis, design, implementation, testing, debugging, documentation, and support for multi-domain orchestration, service orchestration, resource orchestration and OSS integration
2.	Work on API driven resource orchestration for client VNFs / CNFs
3.	Work on DSO / GSO design and evolution
4.	Handle closed loop automation of network cloud with optimization.","1.	Requirements analysis, design, implementation, testing, debugging, documentation, and support for multi-domain orchestration, service orchestration, resource orchestration, and OSS integration, ensuring alignment with business objectives and technical requirements.
2.	Development of API-driven resource orchestration solutions for client VNFs/CNFs, enabling seamless integration and orchestration of virtualized network functions.
3.	Design and evolution of DSO (Domain Service Orchestrator) and GSO (Global Service Orchestrator) solutions, optimizing service delivery and resource utilization across domains and networks.
4.	Implementation of closed-loop automation for the network cloud, integrating feedback mechanisms and optimization algorithms to continuously improve network performance and efficiency.","1.	Orchestration Efficiency: Measures the efficiency and effectiveness of orchestration processes, including the speed and accuracy of resource provisioning and service delivery.
2.	API Integration Success Rate: Tracks the success rate of API-driven resource orchestration for client VNFs/CNFs, ensuring seamless integration and interoperability.
3.	DSO/GSO Performance: Evaluates the performance and scalability of DSO and GSO solutions, including their ability to optimize service delivery across domains and networks.
4.	Closed-Loop Automation Impact: Measures the impact of closed-loop automation on network performance and efficiency, including improvements in resource utilization and service quality.",API Integration & Management,Automation Tools & Frameworks,CI/CD Pipeline Automation,Configuration Management Tools,Hybrid Cloud Integration,Incident Management & Response,Infrastructure as Code (IaC),Monitoring Tools,Orchestration Platforms,Service Chaining,,
Network Mobility,45281193,Lead VVM Service Core & Voice Products,Voice Core,"Lead IMS/VVM core services, mobility VVM services for 4G and 5G, fixed line and enterprise voice services, and IoT voice/SMS networks. Lead service/solution engineering, support network improvements, design, and capacity planning. Drive technology evolution and network integration while serving as an SME support for operations.","1.	Own IMS/VVM core services, mobility VVM services for 4G and 5G core, fixed line voice service, enterprise voice service and IOT voice / SMS network
2.	Handle service /solution engineering to meet the business requirements
3.	Provide support in defining and implementing network improvements,  additions and changes
4.	Work on network design and architecture
5.	Carry out technology / product evolution through technology plan and trail, evolution, network modernization and transformation
6.	Plan and engineer network function through AOP, capex planning, capacity forecasting and expansion plan
7.	Manage capacity build and network integration
8.	Act as SME support for operations","1.	Expansions of VVM Core Network in-line with Increasing trend of customer base, including 4G & 5G user
2.	VVM Core Network Enablement for supporting New Services, Features & Solution
3.	VVM Core EOL/EOS Refresh network and Decentralized Architecture
4.	Network Transformation - Readiness of VVM Workload for jio Own Red-Hat based Telco Cloud Infra.
5.	Network Foundry - Technology Transformation validation & Testing
6.	Distributed Network Arch - Design of decentralized Architecture for VVM 4G & 5G users :
a)	Mitigating risk of service impacts of large Customer base during catastrophic situation.
b)	Minimizing the complexity in service Failover / Fall back
c)	Addressing Infra Saturation at super core sites
7.	Network Cloud Transformation - Existing Multi-Vendor application migration to Cloud Native, using Red-Hat OpenShift Common Telco Cloud infrastructure for all 4G/5G VVM Users","1.	Voice: Network expansion up to XXXX Cr MOU.
2.	Messaging : A2P SMSC Platform Expansion up to XXXX Cr SMS
3.	VoNR
4.	Air fiber SU/MU
5.	Mobile SIP Trunk
6.	Enterprise Caller Name Display
7.	Video FMC
8.	Pan India Planning & Engineering of Nokia IMS Core & Access SBC
9.	Onboarding & Testing for Nokia Workload SCSCF & ECSCF
10.	Foundry Setup & Test Tools Readiness for Testing of RH Telco Cloud",Voice Core - Network Optimization, Security & Fraud Prevention, Technology,Fault Management & Troubleshooting – Voice Services,Product Development,Regulatory Compliance – Voice Services,Service Monitoring & Performance Management,Voice Core Architecture & Design,Voice Product Portfolio Management,VoLTE & VoNR Services,VVM  Service Management,
Network Mobility,45281208,Manager Voice Service Core,Voice Core,"Lead the design and development of integrated IMS Core architecture, engineering solutions for mobility voice core and IMS systems. Develop dialling plans, routing plans, and database planning. Manage documentation such as HLD, Engg/BoQ, ICD, LLD, and ATP documents. Drive network innovation to achieve world-class standards, analyse and address business requirements, and design large-scale systems for optimal performance.","1.	Design and develop integrated IMS Core architecture
2.	Plan, design and engineer of solutions for mobility voice core and IMS systems
3.	Work on Dialing plan, Routing plan and Database planning
4.	Handle documentations like HLD, Engg / BoQ, ICD, LLD and ATP documents
5.	Innovate the network to make it world class
6.	Analyze and respond to business requirements
7.	Design and develop large-scale systems","1.	IMS Network expansion upto XXXX Cr MOU
2.	VoNR
3.	Airfiber SU/MU
4.	Mobile SIP Trunk
5.	Video FMC
6.	Pan India Planning Engineering of Nokia IMS Core & Access SBC
7.	Onboarding Testing for Nokia Workload SCSCF & ECSCF and Ribbon Peering SBC
8.	Foundry Setup Test Tools Readiness for Testing of RH Telco Cloud","1.	Timely expansion of XXXX Cr. MoU Network
2.	Network Ready to support New services
3.	Completion of Engineering with BoQ / BoM
4.	Timely completion of On-Boarding testing
5.	Foundry Setup ready for testing",Fault Management & Troubleshooting – Voice Services,IMS Core Dimensioinig,New Solutions & Services,Regulatory Compliance – Voice Services,Service Quality & Performance Management,Voice Core - Product Lifecycle Management,Voice Core Architecture & Design,Voice Over LTE (VoLTE) & VoNR,Voice Product Design & Development,Voice Security & Fraud Prevention,Voice Service Management,VoIP & IMS
Network Mobility,45282508,Manager VVM Solution & Service,Voice Core,"The purpose of this role is to Drive the development, deployment, and optimization of wireless services, especially VVM, by delivering aligned technical solutions, designing new features, and ensuring smooth integration and performance analysis for successful launches.","1.	Deliver technical solutions for business PRD requirements for VVM services.
2.	Work on solution architecture.
3.	Carry out engineering and deployment of wireless services.
4.	Design the upcoming new solutions, features and supplementary services.
5.	Handle solution feasibility study, service level integration.
6.	Support service deployment.
7.	Carry out performance analysis and fine tuning of service for launch.","1.	Identify opportunities for new solutions, features, and supplementary services in the wireless domain.
2.	Ensure seamless integration of services with existing systems and adherence to SLAs.
3.	Analyze the performance of services, including VVM, through comprehensive testing and evaluation.
4.	Fine-tune the service parameters to optimize performance and ensure a successful launch.
5.	Provide support during the deployment phase to ensure smooth rollout of services.
6.	Develop comprehensive solution architectures for various wireless services, including VVM.","1.	Number of innovative architecture designs implemented.
2.	Time to complete engineering and deployment of wireless services.
3.	Number of new solutions and features designed and implemented.
4.	Accuracy of feasibility assessments and SLA compliance.
5.	Successful deployment support without incidents.
6.	Improvement in service performance metrics post fine-tuning for launch.",End to End Solution Design,Fault Management & Troubleshooting – VVM,Incident Management & Response,Product Customization & Enhancement,Regulatory Compliance – Voice Services,Service Monitoring & Reporting,Service Reporting & Metrics,SLA & Performance Management,Technical Documentation and Reporting,Voice Core - Service Delivery Management,Voice Service Optimization,VVM Architecture Design
Network Mobility,45282983,Project Manager VVM,Voice Core,"As a member of our team, your primary role will be to oversee the comprehensive expansion of our core network system through hardware deployment, integration, and project management. This entails ensuring the smooth commissioning and integration of software systems while also managing the seamless integration and rollout of services.","1.	Work on hardware deployment, integration, project management for core network system expansion 
2.	Manage the software system commissioning and integration 
3.	Manage the service integration and rollout
4.	Work on ATP / HOTO & traffic migration rollout 
5.	Having Daily/ weekly /monthly discussions with stake holders regarding project updates.
6.	Providing monthly update to higher management, identifying and highlighting risk to responsible stakeholders involved.
7.	Track the inventory and consumption booking","1.	Coordinate the deployment and integration of hardware components for core network system expansion, ensuring they meet specifications and standards.
2.	Manage the commissioning and integration of software systems into the network infrastructure, ensuring seamless functionality and compatibility
3.	Oversee the integration of services into the network and coordinate their rollout to end-users or other network elements.
4.	Sending weekly reports to Program Manager and tracking and executing the project
5.	Plan and execute Acceptance Test Plans (ATP) and hot cutovers (HOTO) for new system implementations, ensuring minimal disruption to services. 
6.	Coordinate traffic migration rollouts to transition traffic to new systems smoothly.","1.	Percentage of hardware deployments completed within specified timelines.
2.	Percentage of software systems successfully Go Live into the network without issues.
3.	Timeliness and effectiveness of service integration and rollout, measured by customer acceptance and feedback.
4.	Percentage of successful Acceptance Test Plans and hot cutovers completed in coordination with NOC and SME’s.
5.	Smooth transition of traffic to new systems with minimal impact on network performance and user experience.
6.	Accuracy of inventory tracking and consumption booking, ensuring resources are effectively managed and utilized.
7.	To help team to remove any impediments during project execution phase.",Voice Core - Compliance & Regulatory Standards,Project Management Tools,Resource Management,Voice Core - Quality Assurance,Voice Core - Risk Management,Voice Core - Voice Network Architecture,Voice Service Knowledge (VVM),,,,,
Network Mobility,45283849,SME FLP Service & Solutions,Voice Core,"Your role within our organization will revolve around the meticulous planning and dimensioning of our Business Telephony Application Server, ensuring its seamless integration and optimal functionality within our telecommunications infrastructure. You will spearhead the development of interconnecting solution designs, encompassing dialing plans, routing plans, database planning, and signaling solutions, all aimed at facilitating smooth communication processes.","1.	Plan and dimensioning of Business Telephony Application Server
2.	Work on interconnecting solution design, dialing plan, routing plan, database planning and signaling solution
3.	Work on engineering documents like HLD, Engg/BoQ, ICD, LLD & ATP
4.	Analyze the proposed products and solutions in line with the business requirements
5.	Support and coordinate for end to end solution deployment with various teams
6.	Interact and involve with business for planning and deployment","1.	Business Telephony Application Server Planning and Dimensioning.
2.	Interconnecting Solution Design.
3.	Analyze proposed products and solutions to assess their compatibility with business requirements, technical feasibility, and potential for meeting performance objectives.
4.	Provide support and coordination for the deployment of end-to-end solutions, collaborating with different teams to ensure successful implementation and integration.
5.	Interact and involve with business stakeholders to understand their needs, gather requirements, and ensure alignment of telephony solutions with business objectives.","1.	Accuracy of telephony server dimensioning in meeting capacity requirements and accommodating business growth
2.	Effectiveness of interconnecting solutions in facilitating smooth communication and connectivity across network elements.
3.	Assessment of engineering document quality based on completeness, accuracy, and clarity.
4.	Evaluation of proposed products and solutions based on their alignment with business requirements and technical viability.
5.	Percentage of successful end-to-end solution deployments completed within specified timelines and meeting performance criteria.
6.	Feedback from business stakeholders regarding the relevance, effectiveness, and impact of telephony solutions on business operations and objectives.",FLP Performance Monitoring,FLP Service Design & Architecture,Network Integration & Configuration,Regulatory & Compliance Management,Service Implementation,Service Quality Management,Solution Design for FLP Services,Voice Core - Service Delivery Management,Voice Core - Service Optimization,Voice Core Technologies,,
Network Mobility,45281179,SME Integrated Call Routing Design,Voice Core,"The job purpose revolves around orchestrating the planning, design, and management of IMS (IP Multimedia Subsystem) nodes, ensuring seamless operations and continuous improvement of telecommunications infrastructure. This includes meticulously planning and designing IMS nodes and system configurations to meet performance and capacity requirements effectively. Managing the installation of new networks while maintaining and upgrading existing systems are essential tasks for keeping the infrastructure up to date and in line with evolving technologies.","1.	Work on end to end call routing and designing of IMS nodes and breakout nodes 
2.	Maintain and manage the Routing Data Base for Pan India Network
3.	Create optimal routing solutions
4.	Conduct regular audits and take corrective actions
5.	Propose solutions for Jio business specific requirements
6.	Analyze and respond to business requirements","1.	End-to-end call routing design for IMS nodes and breakout nodes.
2.	Documented designs for IMS nodes and breakout nodes.
3.	Implementation plans for the designed routing solutions.
4.	Maintained and updated Routing Database for the Pan India Network.
5.	Optimal routing solutions designed and proposed.
6.	Regular audits conducted on routing processes and data.","1.	Accuracy and efficiency of the designed solutions.
2.	Reduction in routing errors due to database maintenance.
3.	Efficiency improvement achieved through routing solutions.
4.	Improvement in routing efficiency and accuracy post-audit.
5.	Alignment of proposed solutions with business requirements.
6.	Accuracy of routing solutions in addressing business needs.",Call Routing Architecture,Call Routing Algorithms,Call Routing Compliance,Call Routing Performance Monitoring,Call Routing Troubleshooting,Call Routing with VoIP,Incident Management & Response,Integrated Call Routing Design for New Technologies,Load Balancing & Scalability,Routing Protocols & Standards,Service Delivery & Deployment,Service Quality & Optimization
Network Mobility,45281198,SME Voice Breakout Solutions,Voice Core,"The job involves a multifaceted role in planning, designing, and managing the IMS (IP Multimedia Subsystem) Breakout nodes, including MGCF (Media Gateway Control Function), MGW (Media Gateway), and IP Peering SBC (Session Border Controller). This entails configuring and fine-tuning the MGCF, SBC, and NGW systems to ensure optimal performance. Overseeing the installation of new network infrastructure and consistently maintaining and upgrading existing systems are also key responsibilities. Capacity engineering at both node and network levels for IMS breakout nodes is essential for seamless operation.","1.	Plan and design the IMS Breakout nodes i.e. MGCF, MGW & IP Peering SBC 
2.	Work on MGCF / SBC / NGW system configurations
3.	Manage the installation of a new network
4.	Maintain and upgrade the existing systems 
5.	Handle node and network level capacity engineering for IMS breakout nodes
6.	Work on Pan India network Off-net voice traffic analysis 
7.	Carry out technical requirement finalization for the IMS breakout nodes
8.	Execute vendor analysis and support vendor management","1.	Pan India IP Planning and Network Readiness.
2.	Planning of IP Routing, TOR readiness IP troubleshooting.
3.	Pan India IP/Network Planning Engineering.
4.	Planning of Network as per Cloud Design Architecture.
5.	Planning for Spirent Tool Network requirements and Implementation as per Plan.","1.	Timely expansion of XXXX Cr. MoU Network.
2.	Network Ready to support New services.
3.	Completion of Engineering with BoQ / BoM.
4.	Timely completion of On-Boarding testing.
5.	Foundry Setup ready for testing.",Voice Core - Integration with Core Network,Automation Tools & Frameworks,Design of Breakout Solutions,Failover and Redundancy Mechanisms,Optimizing Voice Breakout Performance,Regulatory Compliance – Voice Services,Security Protocols for Voice Breakout,Tool Development for Breakout Solutions,Traffic Routing for Voice Breakout,Troubleshooting Breakout Solution Issues,Understanding of QoS and Media Handling,"Understanding of SIP, VoIP, and Media Gateways"
Network Mobility,45281178,SME Voice Core Network Function,Voice Core,"The job purpose revolves around orchestrating the planning, design, and management of IMS (IP Multimedia Subsystem) nodes, ensuring seamless operations and continuous improvement of telecommunications infrastructure. This includes meticulously planning and designing IMS nodes and system configurations to meet performance and capacity requirements effectively. Managing the installation of new networks while maintaining and upgrading existing systems are essential tasks for keeping the infrastructure up to date and in line with evolving technologies.","1.	Plan and design the IMS nodes and system configurations
2.	Manage installation of a new network and maintain and upgrade existing systems
3.	Work on life cycle management of IMS software systems
4.	Handle rollout of new feature or functionality
5.	Manage smooth operations, upgrades, expansion 
6.	Ensure 99.999% platforms and service availability  
7.	Work on technical requirement about finalization for the IMS nodes
8.	Coordinate and track vendor delivery in terms of capability support
9.	Optimize the software stack and architecture","1.	IMS Network expansion upto XXXX Cr MOU.
2.	Pan India Planning Engineering of Nokia IMS Core & Access SBC
3.	Onboarding Testing for Nokia Workload 
4.	SCSCF & ECSCF and Ribbon Peering SBC
5.	Foundry Setup Test Tools Readiness for Testing of RH Telco Cloud","1.	Timely expansion of XXXX Cr. MoU Network.
2.	Network Ready to support New services.
3.	Completion of Engineering with BoQ / BoM.
4.	Timely completion of On-Boarding testing.
5.	Foundry Setup ready for testing.",Automation Tools & Frameworks,Fault Management and Monitoring,Implementation of Network Functions,IMS Core Dimensioinig,Integration with IMS and 5G Core,Network Function Management for Voice Services,Network Troubleshooting for Voice Core Functions,New Solutions & Services,Performance Optimization of Voice Core Networks,Regulatory Compliance for Voice Networks,Security Protocols for Voice Networks,"SIP, RTP, and Signaling Protocols"
Network Mobility,45282533,SME Voice NW Architecture,Voice Core,"The purpose of this role is to support IMS Core architecture planning and integration with 4G EPC and 5GC nodes. Assist in system engineering, capacity planning, and vendor analysis. Collaborate on corrective actions based on traffic analysis and contribute to FoA testing for new solutions","1.	Work on IMS Core architecture planning and designing.
2.	Handle system engineering / BOQ and traffic analysis.
3.	Integrate the architecture considering 4G EPC and 5GC nodes.
4.	Work on node and network level capacity engineering for IMS nodes.
5.	Manage technical requirement finalization for the IMS nodes / VoLTE service.
6.	Carry out vendor analysis and support vendor management.
7.	Report corrective action and expansion decision based on traffic analysis.
8.	Support the network integration processes.
9.	FoA testing of new solution / functionality / software release in production site.","1.	Detailed plans and designs for IMS Core architecture.
2.	Documentation of architecture decisions and rationale
3.	Documentation of integration process and configurations
4.	Finalized technical requirements documents for IMS nodes and Voice over LTE (VoLTE) service.
5.	Validation of requirements against business needs and standards.
6.	Vendor analysis reports with recommendations
7.	Reports detailing corrective actions and expansion decisions based on traffic analysis.
8.	Collaboration with cross-functional teams for seamless integration
9.	Successful completion of Field of Application (FoA) testing for new solutions, functionalities, or software releases in the production environment.","1.	Timeliness and quality of IMS Core architecture plans and designs.
2.	Accuracy of system engineering reports and BOQ
3.	Effectiveness of vendor analysis reports and satisfaction ratings from vendors
4.	Timeliness and impact of corrective actions and expansion decisions based on traffic analysis.
5.	Smoothness of network integration processes and effectiveness of cross-functional collaboration
6.	Success rate and issue resolution during FoA testing for new solutions, functionalities, or software releases.",Voice Core  - Network Performance Optimization,Automation Tools & Frameworks,Integration with Data Networks,Network Sizing and Scalability,QoS in Voice Networks,Security in Voice Networks,"SIP, H.323, and Media Gateway Protocols",Technical Documentation and Reporting,Voice Network Design Principles,Voice Network Topology and Structure,"VoLTE, VoWi-Fi, and IMS Architecture",
Network Mobility,45283850,Specialist FLP Voice Core & Services,Voice Core,"The job focuses on efficiently planning, designing, and deploying the Business Telephony Application Server (BTAS) and interconnected solutions to meet business telephony needs. This involves dimensioning the BTAS infrastructure, designing interconnecting solutions encompassing dialing plans, routing plans, databases, and signaling solutions, and creating engineering documents such as HLD, BoQ, ICD, LLD, and ATP.","1.	Plan and dimensioning of Business Telephony Application Server
2.	Work on interconnecting solution design, dialing plan, routing plan, database planning and signaling solution
3.	Work on engineering documents like HLD, Engg / BoQ, ICD, LLD & ATP
4.	Analyze the proposed products and solutions in line with the business requirements
5.	Support and coordinate for end to end solution deployment with various teams 
6.	Interact and involve with business for planning and deployment.","1.	BTAS infrastructure plan, capacity dimensioning report.
2.	Interconnecting solution design document, dialing plan, routing plan.
3.	HLD, BoQ, ICD, LLD, ATP documents.
4.	Analysis report on proposed products and solutions.
5.	Deployment coordination plan, deployment progress reports.","1.	Accuracy of capacity estimation, adherence to project timelines.
2.	Efficiency of call routing, successful interconnection between telephony components.
3.	Completeness and accuracy of documentation, adherence to industry standards.
4.	Alignment with business requirements, cost-effectiveness, scalability.
5.	Timely completion of deployment tasks, minimal disruptions during deployment.",Voice Core - Network Performance Optimization,Automation Tools & Frameworks,Legacy Voice Systems Integration,Network Fault Management and Troubleshooting,QoS Implementation for Voice Services,"SIP, H.323, and Media Gateway Protocols","SIP, IMS, and VoIP Frameworks",Solution Design for FLP Services,Voice Core Architecture & Design,Voice Network Security,,
